,sr_no,client_name,industry,remarks,category,status,priority,set,manager,designer,fb_posting,insta_posting,birthday_wishes,status
122,127,Mobile Point,Telecom,,TELECOM,OK,B,29.0,RIYA ARORA,KANIKA,RITU,RITU,MUSKAN,
123,129,NEW TARUN MOBILE,TELECOM,,TELECOM,OK,B,29.0,RIYA ARORA,KANIKA,,,,
124,130,Dhirubhai Communications,Telecom,,TELECOM,OK,B,30.0,RIYA ARORA,KANIKA,NEHA,NEHA,MUSKAN,
125,131,Rajindra Telecom,Telecom and Electronics,,TELECOM,OK,B,30.0,RIYA ARORA,KANIKA,RITU,RITU,NEELAM,
126,132,The Gadget World,Telecom,,TELECOM,OK,B,30.0,RIYA ARORA,KANIKA,RITU,NO,NO,
127,133,Krishna Traders,Telecom,,TELECOM,OK,B,31.0,RIYA ARORA,KANIKA,RITU,NO,MUSKAN,
128,134,Spice Technology,Telecom,,TELECOM,OK,B,31.0,RIYA ARORA,KANIKA,RITU,RITU,,
129,135,The Sirsa Gadgets,Telecom,,TELECOM,OK,B,31.0,RIYA ARORA,KANIKA,RITU,NO,NO,
130,136,Katyani IT Solutions,Telecom,FINAL CALL,TELECOM,OK,B,32.0,RIYA ARORA,KANIKA,RITU,NO,GAUTAM ,
131,137,Msn Mobile,Telecom,,TELECOM,OK,B,32.0,RIYA ARORA,KANIKA,RITU,RITU,NO,
132,138,Narang Enterprises,Telecom,,TELECOM,OK,B,32.0,RIYA ARORA,KANIKA,RITU,RITU,NEELAM,
133,139,Mureja Mobiles,Telecom,,TELECOM,OK,B,33.0,RIYA ARORA,KANIKA,RITU,NO,NO,
134,140,ROCKET MOBILE,Telecom,,TELECOM,OK,B,33.0,RIYA ARORA,KANIKA,,,,
135,141,SUKHIJA TRADERS,Telecom,,TELECOM,OK,B,33.0,RIYA ARORA,KANIKA,NEHA,NEHA,NEELAM,
136,142,MANN COMMUNICATION,Telecom,,TELECOM,OK,B,34.0,RIYA ARORA,KANIKA,NEHA,NO,NEELAM,
